Nr,Tree name,product_category,Years,Business as usual,Combined effect,Compost,Technical and Market support,,,
1,Cordia africana,ConstructionWood,2033,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2034,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2035,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2036,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2037,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2038,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2039,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2040,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2041,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2042,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2043,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2044,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2045,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2046,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2047,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2048,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2049,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2050,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2051,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2052,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2053,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2054,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2055,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2056,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2057,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2058,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2059,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2060,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2061,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2062,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2063,20.57187461,24.15267681,23.16011383,21.45107577,,,
1,Cordia africana,ConstructionWood,2064,0,0,0,0,,,
1,Ficus vasta,Fruit (local),2024,0.128883787,0.170709969,0.168046982,0.138200194,,,
1,Ficus vasta,Fruit (local),2025,0.12898791,0.147692964,0.143818311,0.132390938,,,
1,Ficus vasta,Fruit (local),2026,0.143734757,0.16187425,0.156831643,0.141186549,,,
1,Ficus vasta,Fruit (local),2027,0.145233845,0.169248972,0.164753046,0.149015842,,,
1,Ficus vasta,Fruit (local),2028,0.141508803,0.158398958,0.154240784,0.142872265,,,
1,Ficus vasta,Fruit (local),2029,0.256006948,0.259941388,0.252203398,0.259869203,,,
1,Ficus vasta,Fruit (local),2030,0.141349882,0.158661899,0.154148382,0.152591967,,,
1,Ficus vasta,Fruit (local),2031,0.114948764,0.120853648,0.114905083,0.114707122,,,
1,Ficus vasta,Fruit (local),2032,0.166491523,0.186921667,0.182980054,0.181256492,,,
1,Ficus vasta,Fruit (local),2033,0.127990103,0.144054139,0.140798592,0.134771168,,,
1,Ficus vasta,Fruit (local),2034,0.10643985,0.121380188,0.11659692,0.109031284,,,
1,Ficus vasta,Fruit (local),2035,0.085098316,0.101783787,0.09674316,0.088811494,,,
1,Ficus vasta,Fruit (local),2036,0.078557987,0.095843519,0.091554263,0.082730661,,,
1,Ficus vasta,Fruit (local),2037,0.095603701,0.11677199,0.111712573,0.100044455,,,
1,Ficus vasta,Fruit (local),2038,0.079000585,0.099465459,0.095302327,0.08406659,,,
1,Ficus vasta,Fruit (local),2039,0.111074635,0.123757183,0.119714374,0.110917912,,,
1,Ficus vasta,Fruit (local),2040,0.131338023,0.149381089,0.143971911,0.130742096,,,
1,Ficus vasta,Fruit (local),2041,0.162423146,0.186654197,0.179564975,0.165396064,,,
1,Ficus vasta,Fruit (local),2042,0.153444093,0.185035007,0.179536074,0.165460088,,,
1,Ficus vasta,Fruit (local),2043,0.105960898,0.132419656,0.127798509,0.115918614,,,
1,Ficus vasta,Fruit (local),2044,0.094381653,0.104267139,0.101078305,0.093709575,,,
1,Ficus vasta,Fruit (local),2045,0.106685767,0.13084876,0.126034824,0.111638072,,,
1,Ficus vasta,Fruit (local),2046,0.101850304,0.116335684,0.112926184,0.104083929,,,
1,Ficus vasta,Fruit (local),2047,0.145173665,0.174806235,0.169161473,0.153220971,,,
1,Ficus vasta,Fruit (local),2048,0.114181025,0.137474699,0.132981012,0.118823056,,,
1,Ficus vasta,Fruit (local),2049,0.196883792,0.196472415,0.191107272,0.195134204,,,
1,Ficus vasta,Fruit (local),2050,0.152648006,0.174841398,0.17140232,0.170646119,,,
1,Ficus vasta,Fruit (local),2051,0.104105046,0.114039442,0.109853182,0.109502302,,,
1,Ficus vasta,Fruit (local),2052,0.101088898,0.110666149,0.105267896,0.110020044,,,
1,Ficus vasta,Fruit (local),2053,0.091441411,0.095324043,0.092267089,0.090541717,,,
1,Ficus vasta,Fruit (local),2054,0.143844052,0.158024734,0.15232739,0.144315418,,,
1,Ficus vasta,Fruit (local),2055,0.127674087,0.144219852,0.139067079,0.130291524,,,
1,Ficus vasta,Fruit (local),2056,0.103979933,0.121012172,0.117128306,0.10811917,,,
1,Ficus vasta,Fruit (local),2057,0.14775211,0.17978175,0.174083148,0.160890932,,,
1,Ficus vasta,Fruit (local),2058,0.119881276,0.139097123,0.134608565,0.123525766,,,
1,Ficus vasta,Fruit (local),2059,0.094341872,0.116314986,0.111767236,0.100763066,,,
1,Ficus vasta,Fruit (local),2060,0.106991648,0.121208301,0.117472988,0.107624875,,,
1,Ficus vasta,Fruit (local),2061,0.166048573,0.19364599,0.18705136,0.170160403,,,
1,Ficus vasta,Fruit (local),2062,0.12641553,0.150812579,0.146003194,0.131462811,,,
1,Ficus vasta,Fruit (local),2063,0.182106442,0.203636145,0.19822292,0.184493685,,,
1,Ficus vasta,Fruit (local),2064,0,0,0,0,,,
1,Ficus vasta,FuelWood,2024,0,0,0,0,,,
1,Ficus vasta,FuelWood,2025,0.113317252,0.132180819,0.128651605,0.116617832,,,
1,Ficus vasta,FuelWood,2026,0,0,0,0,,,
1,Ficus vasta,FuelWood,2027,0.120871142,0.140449807,0.136636218,0.123735752,,,
1,Ficus vasta,FuelWood,2028,0,0,0,0,,,
1,Ficus vasta,FuelWood,2029,0.137451589,0.155600905,0.151324274,0.140315879,,,
1,Ficus vasta,FuelWood,2030,0,0,0,0,,,
1,Ficus vasta,FuelWood,2031,0.137792587,0.154996884,0.150473095,0.14117746,,,
1,Ficus vasta,FuelWood,2032,0,0,0,0,,,
1,Ficus vasta,FuelWood,2033,0.14159633,0.159251907,0.154832132,0.146393215,,,
1,Ficus vasta,FuelWood,2034,0,0,0,0,,,
1,Ficus vasta,FuelWood,2035,0.135228036,0.15281574,0.148236046,0.139794518,,,
1,Ficus vasta,FuelWood,2036,0,0,0,0,,,
1,Ficus vasta,FuelWood,2037,0.128395137,0.146564786,0.141895745,0.132983643,,,
1,Ficus vasta,FuelWood,2038,0,0,0,0,,,
1,Ficus vasta,FuelWood,2039,0.124228568,0.142368478,0.137732888,0.12848202,,,
1,Ficus vasta,FuelWood,2040,0,0,0,0,,,
1,Ficus vasta,FuelWood,2041,0.130424814,0.149416466,0.144405373,0.134180594,,,
1,Ficus vasta,FuelWood,2042,0,0,0,0,,,
1,Ficus vasta,FuelWood,2043,0.132224955,0.153373811,0.14827771,0.137385032,,,
1,Ficus vasta,FuelWood,2044,0,0,0,0,,,
1,Ficus vasta,FuelWood,2045,0.128396251,0.149134365,0.144159918,0.133086773,,,
1,Ficus vasta,FuelWood,2046,0,0,0,0,,,
1,Ficus vasta,FuelWood,2047,0.129557054,0.150894646,0.145922047,0.134416556,,,
1,Ficus vasta,FuelWood,2048,0,0,0,0,,,
1,Ficus vasta,FuelWood,2049,0.136553919,0.156337204,0.151294008,0.14084043,,,
1,Ficus vasta,FuelWood,2050,0,0,0,0,,,
1,Ficus vasta,FuelWood,2051,0.137064799,0.15644679,0.15155307,0.142777103,,,
1,Ficus vasta,FuelWood,2052,0,0,0,0,,,
1,Ficus vasta,FuelWood,2053,0.131573203,0.148892066,0.144050411,0.137040814,,,
1,Ficus vasta,FuelWood,2054,0,0,0,0,,,
1,Ficus vasta,FuelWood,2055,0.134352697,0.151577319,0.146553708,0.139177855,,,
1,Ficus vasta,FuelWood,2056,0,0,0,0,,,
1,Ficus vasta,FuelWood,2057,0.134930669,0.153812572,0.148750988,0.140559915,,,
1,Ficus vasta,FuelWood,2058,0,0,0,0,,,
1,Ficus vasta,FuelWood,2059,0.131801286,0.151303527,0.146264169,0.137414258,,,
1,Ficus vasta,FuelWood,2060,0,0,0,0,,,
1,Ficus vasta,FuelWood,2061,0.134831437,0.154924414,0.149777866,0.139935677,,,
1,Ficus vasta,FuelWood,2062,0,0,0,0,,,
1,Ficus vasta,FuelWood,2063,1.406362038,1.615638777,1.56343484,1.455534994,,,
1,Ficus vasta,FuelWood,2064,0,0,0,0,,,
1,Ficus vasta,FuelWood,2024,0,0,0,0,,,
1,Ficus vasta,FuelWood,2025,0,0,0,0,,,
1,Ficus vasta,FuelWood,2026,0,0,0,0,,,
1,Ficus vasta,FuelWood,2027,0,0,0,0,,,
1,Ficus vasta,FuelWood,2028,0,0,0,0,,,
1,Ficus vasta,FuelWood,2029,0,0,0,0,,,
1,Ficus vasta,FuelWood,2030,0,0,0,0,,,
1,Ficus vasta,FuelWood,2031,0,0,0,0,,,
1,Ficus vasta,FuelWood,2032,0,0,0,0,,,
1,Ficus vasta,FuelWood,2033,0,0,0,0,,,
1,Ficus vasta,FuelWood,2034,0,0,0,0,,,
1,Ficus vasta,FuelWood,2035,0,0,0,0,,,
1,Ficus vasta,FuelWood,2036,0,0,0,0,,,
1,Ficus vasta,FuelWood,2037,0,0,0,0,,,
1,Ficus vasta,FuelWood,2038,0,0,0,0,,,
1,Ficus vasta,FuelWood,2039,0,0,0,0,,,
1,Ficus vasta,FuelWood,2040,0,0,0,0,,,
1,Ficus vasta,FuelWood,2041,0,0,0,0,,,
1,Ficus vasta,FuelWood,2042,0,0,0,0,,,
1,Ficus vasta,FuelWood,2043,0,0,0,0,,,
1,Ficus vasta,FuelWood,2044,0,0,0,0,,,
1,Ficus vasta,FuelWood,2045,0,0,0,0,,,
